NAME,BEST WER (dev-other),BEST WER (dev-clean),BEST WER (test-other),BEST WER (test-clean),FULL CONFIG PATH
conf_base_conf__drop_l2__l2-0.0003_drop-0.2,"ep: 180, WER: 9.94",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0003_drop-0.2/returnn.config
conf_base_conf__drop_l2__l2-0.0003_drop-0.25,"ep: 190, WER: 10.31",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0003_drop-0.25/returnn.config
conf_base_conf__drop_l2__l2-0.0003_drop-0.3,"ep: 190, WER: 10.64",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0003_drop-0.3/returnn.config
conf_base_conf__drop_l2__l2-0.0004_drop-0.05,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0004_drop-0.05/returnn.config
conf_base_conf__drop_l2__l2-0.0004_drop-0.1,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0004_drop-0.1/returnn.config
conf_base_conf__drop_l2__l2-0.0004_drop-0.15,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0004_drop-0.15/returnn.config
conf_base_conf__drop_l2__l2-0.0004_drop-0.2,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0004_drop-0.2/returnn.config
conf_base_conf__drop_l2__l2-0.0004_drop-0.25,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0004_drop-0.25/returnn.config
conf_base_conf__drop_l2__l2-0.0004_drop-0.3,"ep: 10, WER: 15.5",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0004_drop-0.3/returnn.config
conf_base_conf__drop_l2__l2-0.005_drop-0.02,"ep: 40, WER: 11.49",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.005_drop-0.02/returnn.config
conf_base_conf__drop_l2__l2-0.005_drop-0.03,"ep: 190, WER: 9.35",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.005_drop-0.03/returnn.config
conf_base_conf__drop_l2__l2-0.005_drop-0.05,"ep: 200, WER: 9.5",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.005_drop-0.05/returnn.config
conf_base_conf__drop_l2__l2-0.005_drop-0.1,"ep: 200, WER: 9.86",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.005_drop-0.1/returnn.config
conf_base_conf__drop_l2__l2-0.005_drop-0.15,"ep: 190, WER: 10.08",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.005_drop-0.15/returnn.config
conf_base_conf__drop_l2__l2-0.005_drop-0.2,"ep: 190, WER: 10.23",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.005_drop-0.2/returnn.config
conf_base_conf__drop_l2__l2-0.005_drop-0.25,"ep: 190, WER: 10.75",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.005_drop-0.25/returnn.config
conf_base_conf__drop_l2__l2-0.005_drop-0.3,"ep: 190, WER: 10.93",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.005_drop-0.3/returnn.config
conf_base_conf__drop_l2__l2-0.05_drop-0.05,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.05_drop-0.05/returnn.config
conf_base_conf__drop_l2__l2-0.05_drop-0.1,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.05_drop-0.1/returnn.config
conf_base_conf__drop_l2__l2-0.05_drop-0.15,"ep: 10, WER: 16.25",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.05_drop-0.15/returnn.config
conf_base_conf__drop_l2__l2-0.05_drop-0.2,"ep: 10, WER: 16.56",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.05_drop-0.2/returnn.config
