Experiment Name,Dataset,WER,WER2,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.1_p0.5_st18.0|14.0_mb1024|256,dev-other,5.2,5.21,4.2,0.6,0.4,0.23772122456942543,0.7536050041024493,0.9913262286718748
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.2_p0.2_st12.0|10.0_mb128|64,dev-other,5.3,5.24,4.1,0.4,0.7,0.22929806013894202,0.25114300135155754,0.48044106149049953
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.2_p0.2_st18.0|14.0_mb1024|256,dev-other,5.2,5.19,4.1,0.4,0.7,0.24966217861629886,0.7928089150573595,1.0424710936736583
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.2_p0.3_st12.0|10.0_mb128|64,dev-other,5.3,5.27,4.2,0.5,0.6,0.22830560277942502,0.3858096498135566,0.6141152525929816
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.2_p0.3_st18.0|14.0_mb1024|256,dev-other,5.2,5.20,4.1,0.5,0.6,0.23090611097814553,0.6551786717883067,0.8860847827664522
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.2_p0.4_st12.0|10.0_mb128|64,dev-other,5.3,5.25,4.2,0.5,0.5,0.22839933147480665,0.39023408266779414,0.6186334141426008
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.2_p0.4_st18.0|14.0_mb1024|256,dev-other,5.2,5.18,4.2,0.5,0.5,0.2549534863717727,0.7728815630706871,1.0278350494424597
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.2_p0.5_st12.0|10.0_mb128|64,dev-other,5.3,5.28,4.3,0.6,0.4,0.23232724349884837,0.26660516485188085,0.4989324083507292
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.2_p0.5_st18.0|14.0_mb1024|256,dev-other,5.3,5.23,4.2,0.6,0.4,0.23357301846038203,0.6894732758634916,0.9230462943238736
qat_ctc_bpe_param_sync__recog_tree_memristor_eq,dev-other,6.8,6.77,5.5,0.9,0.4,0.23150710999934837,0.006558904026351089,0.23806601402569946
